day,BN,SubNum,condition,MT,ER
1,7,8,S,1630.0,0.125
1,7,9,M,1837.5,0.25
1,7,9,M+S,1820.0,0.125
1,7,9,S,2157.5,0.25
1,7,10,M,3597.5,0.25
1,7,10,M+S,2815.0,0.125
1,7,10,S,3665.0,0.125
1,7,11,M,2722.5,0.25
1,7,11,M+S,2612.5,0.0
1,7,11,S,3182.5,0.0
1,7,12,M,1102.5,0.25
1,7,12,M+S,1327.5,0.5
1,7,12,S,2340.0,0.125
1,7,13,M,1132.5,0.25
1,7,13,M+S,1127.5,0.0
1,7,13,S,1695.0,0.125
1,7,14,M,2345.0,0.375
1,7,14,M+S,2142.5,0.0
1,7,14,S,2315.0,0.125
1,8,1,M,1185.0,0.625
1,8,1,M+S,1230.0,0.0
1,8,1,S,1835.0,0.625
1,8,2,M,3395.0,0.5
1,8,2,M+S,3387.5,0.0
1,8,2,S,3160.0,0.0
1,8,3,M,2115.0,0.375
1,8,3,M+S,1300.0,0.0
1,8,3,S,1762.5,0.0
1,8,4,M,1420.0,0.125
1,8,4,M+S,1905.0,0.25
1,8,4,S,1900.0,0.375
1,8,5,M,4915.0,0.625
1,8,5,M+S,3550.0,0.0
1,8,5,S,3935.0,0.375
1,8,6,M,1665.0,0.375
1,8,6,M+S,2140.0,0.25
1,8,6,S,2520.0,0.125
1,8,7,M,2465.0,0.125
1,8,7,M+S,2205.0,0.125
1,8,7,S,2810.0,0.0
1,8,8,M,910.0,0.125
1,8,8,M+S,922.5,0.0
1,8,8,S,1830.0,0.125
1,8,9,M,2132.5,0.5
1,8,9,M+S,1770.0,0.0
1,8,9,S,2350.0,0.125
1,8,10,M,2585.0,0.375
1,8,10,M+S,2545.0,0.375
1,8,10,S,3780.0,0.125
1,8,11,M,3050.0,0.625
1,8,11,M+S,2500.0,0.125
1,8,11,S,3390.0,0.125
1,8,12,M,1155.0,0.5
1,8,12,M+S,1210.0,0.0
1,8,12,S,2160.0,0.125
1,8,13,M,1105.0,0.125
1,8,13,M+S,1115.0,0.0
1,8,13,S,1575.0,0.125
1,8,14,M,2062.5,0.0
1,8,14,M+S,2080.0,0.125
1,8,14,S,2585.0,0.125
1,9,1,M,1420.0,0.125
1,9,1,M+S,1265.0,0.125
1,9,1,S,2215.0,0.25
1,9,2,M,2322.5,0.5
1,9,2,M+S,2595.0,0.25
1,9,2,S,3160.0,0.125
1,9,3,M,1832.5,0.25
1,9,3,M+S,1392.5,0.0
1,9,3,S,2040.0,0.125
1,9,4,M,1540.0,0.5
1,9,4,M+S,1445.0,0.125
1,9,4,S,2125.0,0.125
1,9,5,M,4645.0,0.125
1,9,5,M+S,4075.0,0.375
1,9,5,S,4220.0,0.25
1,9,6,M,1640.0,0.125
1,9,6,M+S,2025.0,0.125
1,9,6,S,2800.0,0.125
1,9,7,M,2345.0,0.0
1,9,7,M+S,2412.5,0.0
1,9,7,S,2875.0,0.0
1,9,8,M,942.5,0.0
1,9,8,M+S,867.5,0.0
1,9,8,S,1780.0,0.125
1,9,9,M,2055.0,0.25
1,9,9,M+S,1635.0,0.125
1,9,9,S,2235.0,0.125
1,9,10,M,2587.5,0.75
1,9,10,M+S,2410.0,0.125
1,9,10,S,3657.5,0.25
1,9,11,M,2580.0,0.375
1,9,11,M+S,2067.5,0.0
1,9,11,S,3580.0,0.25
1,9,12,M,1160.0,0.25
1,9,12,M+S,1125.0,0.125
1,9,12,S,2355.0,0.125
1,9,13,M,1047.5,0.25
1,9,13,M+S,1015.0,0.125
1,9,13,S,1670.0,0.0
1,9,14,M,2132.5,0.25
1,9,14,M+S,2130.0,0.125
1,9,14,S,2642.5,0.25
1,10,1,M,1090.0,0.125
1,10,1,M+S,1105.0,0.25
1,10,1,S,1880.0,0.0
1,10,2,M,3065.0,0.625
1,10,2,M+S,2972.5,0.25
1,10,2,S,3200.0,0.125
1,10,3,M,1970.0,0.0
1,10,3,M+S,1180.0,0.0
1,10,3,S,2015.0,0.0
1,10,4,M,1232.5,0.0
1,10,4,M+S,1310.0,0.125
1,10,4,S,1970.0,0.125
1,10,5,M,4845.0,0.375
1,10,5,M+S,3760.0,0.125
1,10,5,S,3570.0,0.125
1,10,6,M,1510.0,0.125
1,10,6,M+S,1630.0,0.0
1,10,6,S,2605.0,0.0
1,10,7,M,2150.0,0.125
1,10,7,M+S,2062.5,0.0
1,10,7,S,3192.5,0.0
1,10,8,M,817.5,0.0
1,10,8,M+S,892.5,0.25
1,10,8,S,1857.5,0.0
1,10,9,M,1970.0,0.125
1,10,9,M+S,1872.5,0.0
1,10,9,S,1925.0,0.25
1,10,10,M,2600.0,0.125
1,10,10,M+S,2465.0,0.0
1,10,10,S,3705.0,0.125
1,10,11,M,1840.0,0.375
1,10,11,M+S,2255.0,0.125
1,10,11,S,3407.5,0.0
1,10,12,M,1317.5,0.25
1,10,12,M+S,1205.0,0.375
1,10,12,S,2080.0,0.0
1,10,13,M,985.0,0.125
1,10,13,M+S,995.0,0.0
1,10,13,S,1627.5,0.0
1,10,14,M,2077.5,0.0
1,10,14,M+S,1947.5,0.25
1,10,14,S,2320.0,0.25
1,11,1,M,1030.0,0.125
1,11,1,M+S,1050.0,0.125
1,11,1,S,2135.0,0.25
1,11,2,M,3005.0,0.375
1,11,2,M+S,2857.5,0.0
1,11,2,S,2942.5,0.0
1,11,3,M,1925.0,0.0
1,11,3,M+S,1085.0,0.125
1,11,3,S,2135.0,0.125
1,11,4,M,1430.0,0.125
1,11,4,M+S,1505.0,0.0
1,11,4,S,2125.0,0.125
1,11,5,M,4000.0,0.125
1,11,5,M+S,3450.0,0.125
1,11,5,S,3862.5,0.0
1,11,6,M,1637.5,0.0
1,11,6,M+S,1632.5,0.0
1,11,6,S,2445.0,0.0
1,11,7,M,1997.5,0.0
1,11,7,M+S,2200.0,0.0
1,11,7,S,2825.0,0.0
1,11,8,M,857.5,0.0
1,11,8,M+S,797.5,0.25
1,11,8,S,1685.0,0.125
1,11,9,M,1955.0,0.125
1,11,9,M+S,1740.0,0.125
1,11,9,S,2122.5,0.25
1,11,10,M,2755.0,0.25
1,11,10,M+S,2485.0,0.125
1,11,10,S,3220.0,0.125
1,11,11,M,2430.0,0.375
1,11,11,M+S,2357.5,0.5
1,11,11,S,3250.0,0.125
1,11,12,M,1180.0,0.375
1,11,12,M+S,1240.0,0.125
1,11,12,S,1815.0,0.125
1,11,13,M,1047.5,0.0
1,11,13,M+S,1075.0,0.0
1,11,13,S,1750.0,0.0
1,11,14,M,1707.5,0.25
1,11,14,M+S,1770.0,0.125
1,11,14,S,2575.0,0.125
1,12,1,M,905.0,0.375
1,12,1,M+S,975.0,0.375
1,12,1,S,1842.5,0.25
1,12,2,M,2890.0,0.375
1,12,2,M+S,2535.0,0.125
1,12,2,S,3305.0,0.0
1,12,3,M,1345.0,0.125
1,12,3,M+S,1102.5,0.0
1,12,3,S,2075.0,0.0
1,12,4,M,1157.5,0.5
1,12,4,M+S,1105.0,0.125
1,12,4,S,2115.0,0.125
1,12,5,M,4090.0,0.125
1,12,5,M+S,3515.0,0.0
1,12,5,S,4150.0,0.125
1,12,6,M,1490.0,0.125
1,12,6,M+S,1715.0,0.375
1,12,6,S,3027.5,0.25
1,12,7,M,2070.0,0.0
1,12,7,M+S,2285.0,0.0
1,12,7,S,2982.5,0.25
1,12,8,M,832.5,0.0
1,12,8,M+S,905.0,0.0
1,12,8,S,1912.5,0.0
1,12,9,M,2250.0,0.125
1,12,9,M+S,1665.0,0.125
1,12,9,S,2245.0,0.125
1,12,10,M,2780.0,0.125
1,12,10,M+S,2585.0,0.25
1,12,10,S,2975.0,0.0
1,12,11,M,2270.0,0.25
1,12,11,M+S,2090.0,0.125
1,12,11,S,2855.0,0.25
1,12,12,M,1425.0,0.25
1,12,12,M+S,1090.0,0.125
1,12,12,S,1985.0,0.125
1,12,13,M,995.0,0.125
1,12,13,M+S,1055.0,0.125
1,12,13,S,1660.0,0.0
1,12,14,M,1870.0,0.0
1,12,14,M+S,1857.5,0.0
1,12,14,S,2260.0,0.0
2,13,1,M,1215.0,0.25
2,13,1,M+S,1165.0,0.25
2,13,1,S,1820.0,0.125
2,13,2,M,3580.0,0.875
2,13,2,M+S,2695.0,0.125
2,13,2,S,3080.0,0.125
2,13,3,M,2985.0,0.375
2,13,3,M+S,1162.5,0.0
2,13,3,S,1860.0,0.125
2,13,4,M,2715.0,0.625
2,13,4,M+S,1460.0,0.0
2,13,4,S,2090.0,0.0
2,13,5,M,5805.0,0.625
2,13,5,M+S,3930.0,0.125
2,13,5,S,3990.0,0.0
2,13,6,M,1422.5,0.25
2,13,6,M+S,1975.0,0.25
2,13,6,S,2665.0,0.0
2,13,7,M,2297.5,0.0
2,13,7,M+S,2215.0,0.125
2,13,7,S,3185.0,0.0
2,13,8,M,997.5,0.25
2,13,8,M+S,970.0,0.125
2,13,8,S,1790.0,0.125
2,13,9,M,2605.0,0.75
2,13,9,M+S,1750.0,0.125
2,13,9,S,1805.0,0.125
2,13,10,M,2167.5,0.5
2,13,10,M+S,2315.0,0.25
2,13,10,S,3330.0,0.125
2,13,11,M,2137.5,0.25
2,13,11,M+S,2370.0,0.0
2,13,11,S,2985.0,0.0
2,13,12,M,1325.0,0.125
2,13,12,M+S,1012.5,0.25
2,13,12,S,2135.0,0.25
2,13,13,M,1012.5,0.25
2,13,13,M+S,1005.0,0.0
2,13,13,S,1660.0,0.0
2,13,14,M,2662.5,0.5
2,13,14,M+S,2145.0,0.0
2,13,14,S,2470.0,0.125
2,14,1,M,1005.0,0.0
2,14,1,M+S,920.0,0.375
2,14,1,S,1865.0,0.5
2,14,2,M,2302.5,0.25
2,14,2,M+S,2557.5,0.0
2,14,2,S,2825.0,0.0
