SubNum,condition,windowSize,MT,day,ER
9,M+S,3,1275.0,3,
9,M+S,7,1240.0,3,
9,S,1,3170.0,3,
9,S,2,2167.5,3,
9,S,3,1980.0,3,
9,S,7,1835.0,3,
10,M+S,1,2160.0,3,
10,M+S,2,2045.0,3,
10,M+S,3,2065.0,3,
10,M+S,7,2100.0,3,
10,S,1,3815.0,3,
10,S,2,3095.0,3,
10,S,3,3125.0,3,
10,S,7,2825.0,3,
11,M+S,1,1335.0,3,
11,M+S,2,1245.0,3,
11,M+S,3,1240.0,3,
11,M+S,7,1310.0,3,
11,S,1,3600.0,3,
11,S,2,2360.0,3,
11,S,3,2272.5,3,
11,S,7,2110.0,3,
12,M+S,1,855.0,3,
12,M+S,2,837.5,3,
12,M+S,3,850.0,3,
12,M+S,7,960.0,3,
12,S,1,3280.0,3,
12,S,2,1885.0,3,
12,S,3,1800.0,3,
12,S,7,1930.0,3,
13,M+S,1,657.5,3,
13,M+S,2,685.0,3,
13,M+S,3,705.0,3,
13,M+S,7,710.0,3,
13,S,1,2837.5,3,
13,S,2,1700.0,3,
13,S,3,1375.0,3,
13,S,7,1322.5,3,
14,M+S,1,1215.0,3,
14,M+S,2,1455.0,3,
14,M+S,3,1290.0,3,
14,M+S,7,1465.0,3,
14,S,1,2925.0,3,
14,S,2,2195.0,3,
14,S,3,1990.0,3,
14,S,7,1970.0,3,
1,M,8,1350.0,1,
2,M,8,2990.0,1,
3,M,8,1935.0,1,
4,M,8,1440.0,1,
5,M,8,4645.0,1,
6,M,8,1775.0,1,
7,M,8,2447.5,1,
8,M,8,965.0,1,
9,M,8,2155.0,1,
10,M,8,3110.0,1,
11,M,8,2785.0,1,
12,M,8,1260.0,1,
13,M,8,1150.0,1,
14,M,8,2302.5,1,
1,M,8,945.0,2,
2,M,8,1980.0,2,
3,M,8,1190.0,2,
4,M,8,1140.0,2,
5,M,8,2820.0,2,
6,M,8,1310.0,2,
7,M,8,1755.0,2,
8,M,8,767.5,2,
9,M,8,1800.0,2,
10,M,8,2130.0,2,
11,M,8,1595.0,2,
12,M,8,1025.0,2,
13,M,8,752.5,2,
14,M,8,1605.0,2,
1,M,8,857.5,3,
2,M,8,1485.0,3,
3,M,8,1230.0,3,
4,M,8,957.5,3,
5,M,8,2087.5,3,
6,M,8,1265.0,3,
7,M,8,1377.5,3,
8,M,8,665.0,3,
9,M,8,1372.5,3,
10,M,8,2195.0,3,
11,M,8,1375.0,3,
12,M,8,860.0,3,
13,M,8,685.0,3,
14,M,8,1260.0,3,
1,M+S,1,1672.5,4,0.0
1,M+S,2,1310.0,4,0.05
1,M+S,3,1042.5,4,0.0
1,M+S,7,1050.0,4,0.05
1,M+S (changed),1,,4,0.5833333333333334
1,M+S (changed),2,,4,0.4166666666666667
1,M+S (changed),3,,4,0.25
1,M+S (changed),7,,4,0.0
1,S,1,2850.0,4,0.35
1,S,2,1785.0,4,0.1
1,S,3,1475.0,4,0.25
1,S,7,1492.5,4,0.1
2,M+S,1,2290.0,4,0.0
2,M+S,2,1905.0,4,0.0
2,M+S,3,1570.0,4,0.0
2,M+S,7,1602.5,4,0.0
2,M+S (changed),1,,4,0.3333333333333333
2,M+S (changed),2,,4,0.08333333333333333
2,M+S (changed),3,,4,0.08333333333333333
2,M+S (changed),7,,4,0.08333333333333333
2,S,1,3850.0,4,0.0
2,S,2,2755.0,4,0.0
2,S,3,2595.0,4,0.1
2,S,7,2635.0,4,0.15
3,M+S,1,2070.0,4,0.0
3,M+S,2,1365.0,4,0.1
3,M+S,3,1220.0,4,0.05
3,M+S,7,1090.0,4,0.05
3,M+S (changed),1,,4,0.75
3,M+S (changed),2,,4,0.16666666666666666
3,M+S (changed),3,,4,0.25
3,M+S (changed),7,,4,0.16666666666666666
3,S,1,2870.0,4,0.05
3,S,2,1765.0,4,0.05
3,S,3,1587.5,4,0.1
3,S,7,1692.5,4,0.1
4,M+S,1,1940.0,4,0.0
4,M+S,2,1467.5,4,0.0
4,M+S,3,1212.5,4,0.1
4,M+S,7,1090.0,4,0.0
4,M+S (changed),1,,4,0.4166666666666667
4,M+S (changed),2,,4,0.16666666666666666
4,M+S (changed),3,,4,0.25
4,M+S (changed),7,,4,0.16666666666666666
4,S,1,3212.5,4,0.0
4,S,2,1880.0,4,0.0
4,S,3,1987.5,4,0.1
4,S,7,1805.0,4,0.0
5,M+S,1,2640.0,4,0.05
5,M+S,2,2085.0,4,0.05
5,M+S,3,2167.5,4,0.1
5,M+S,7,2100.0,4,0.1
5,M+S (changed),1,,4,0.4166666666666667
5,M+S (changed),2,,4,0.0
5,M+S (changed),3,,4,0.08333333333333333
5,M+S (changed),7,,4,0.08333333333333333
5,S,1,3590.0,4,0.05
5,S,2,2780.0,4,0.05
5,S,3,2960.0,4,0.05
5,S,7,2755.0,4,0.15
6,M+S,1,2490.0,4,0.0
6,M+S,2,1747.5,4,0.0
6,M+S,3,1500.0,4,0.1
6,M+S,7,1380.0,4,0.0
6,M+S (changed),1,,4,0.5833333333333334
6,M+S (changed),2,,4,0.16666666666666666
6,M+S (changed),3,,4,0.08333333333333333
6,M+S (changed),7,,4,0.16666666666666666
6,S,1,3690.0,4,0.05
6,S,2,2565.0,4,0.15
6,S,3,2502.5,4,0.2
6,S,7,2655.0,4,0.2
7,M+S,1,2000.0,4,0.1
7,M+S,2,1710.0,4,0.0
7,M+S,3,1572.5,4,0.0
7,M+S,7,1542.5,4,0.0
7,M+S (changed),1,,4,0.5
7,M+S (changed),2,,4,0.5
7,M+S (changed),3,,4,0.3333333333333333
7,M+S (changed),7,,4,0.25
7,S,1,3580.0,4,0.05
7,S,2,2475.0,4,0.15
7,S,3,2637.5,4,0.2
7,S,7,2600.0,4,0.1
8,M+S,1,2045.0,4,0.15
8,M+S,2,1367.5,4,0.0
8,M+S,3,1155.0,4,0.05
8,M+S,7,750.0,4,0.1
8,M+S (changed),1,,4,0.08333333333333333
8,M+S (changed),2,,4,0.25
8,M+S (changed),3,,4,0.16666666666666666
8,M+S (changed),7,,4,0.25
8,S,1,2730.0,4,0.15
8,S,2,1775.0,4,0.15
8,S,3,1490.0,4,0.1
8,S,7,1450.0,4,0.1
9,M+S,1,1615.0,4,0.0
9,M+S,2,1327.5,4,0.2
9,M+S,3,1215.0,4,0.05
9,M+S,7,1245.0,4,0.15
9,M+S (changed),1,,4,0.8333333333333334
9,M+S (changed),2,,4,0.5833333333333334
9,M+S (changed),3,,4,0.16666666666666666
9,M+S (changed),7,,4,0.16666666666666666
9,S,1,3050.0,4,0.15
9,S,2,2070.0,4,0.05
9,S,3,1850.0,4,0.15
9,S,7,1670.0,4,0.1
10,M+S,1,2630.0,4,0.0
10,M+S,2,2122.5,4,0.0
10,M+S,3,1785.0,4,0.0
10,M+S,7,2015.0,4,0.05
10,M+S (changed),1,,4,0.08333333333333333
10,M+S (changed),2,,4,0.16666666666666666
10,M+S (changed),3,,4,0.25
10,M+S (changed),7,,4,0.08333333333333333
10,S,1,3900.0,4,0.05
10,S,2,2775.0,4,0.05
10,S,3,2910.0,4,0.15
10,S,7,2795.0,4,0.05
11,M+S,1,1772.5,4,0.1
11,M+S,2,1717.5,4,0.2
11,M+S,3,1415.0,4,0.1
11,M+S,7,1422.5,4,0.1
11,M+S (changed),1,,4,0.5
11,M+S (changed),2,,4,0.25
11,M+S (changed),3,,4,0.16666666666666666
11,M+S (changed),7,,4,0.4166666666666667
11,S,1,3575.0,4,0.05
11,S,2,2380.0,4,0.05
11,S,3,2390.0,4,0.0
11,S,7,2160.0,4,0.1
12,M+S,1,1870.0,4,0.05
12,M+S,2,1227.5,4,0.2
12,M+S,3,905.0,4,0.15
12,M+S,7,850.0,4,0.0
12,M+S (changed),1,,4,0.6666666666666666
12,M+S (changed),2,,4,0.25
12,M+S (changed),3,,4,0.25
12,M+S (changed),7,,4,0.25
12,S,1,2982.5,4,0.2
12,S,2,1722.5,4,0.0
12,S,3,1625.0,4,0.05
12,S,7,1582.5,4,0.0
13,M+S,1,1995.0,4,0.05
13,M+S,2,1315.0,4,0.0
13,M+S,3,1050.0,4,0.1
13,M+S,7,655.0,4,0.2
13,M+S (changed),1,,4,0.5
13,M+S (changed),2,,4,0.16666666666666666
13,M+S (changed),3,,4,0.3333333333333333
13,M+S (changed),7,,4,0.25
13,S,1,2902.5,4,0.1
13,S,2,1625.0,4,0.15
13,S,3,1420.0,4,0.15
13,S,7,1320.0,4,0.15
14,M+S,1,2010.0,4,0.15
14,M+S,2,1672.5,4,0.0
14,M+S,3,1540.0,4,0.05
14,M+S,7,1477.5,4,0.1
14,M+S (changed),1,,4,0.5
14,M+S (changed),2,,4,0.25
14,M+S (changed),3,,4,0.08333333333333333
14,M+S (changed),7,,4,0.0
14,S,1,2755.0,4,0.15
14,S,2,2175.0,4,0.05
14,S,3,2020.0,4,0.1
14,S,7,2025.0,4,0.15
1,M,8,830.0,4,0.0875
2,M,8,1495.0,4,0.0375
3,M,8,1030.0,4,0.1375
4,M,8,910.0,4,0.1375
5,M,8,2002.5,4,0.1
6,M,8,1290.0,4,0.05
7,M,8,1345.0,4,0.1375
8,M,8,627.5,4,0.075
9,M,8,1160.0,4,0.1
10,M,8,1920.0,4,0.1125
11,M,8,1220.0,4,0.0875
12,M,8,830.0,4,0.1375
13,M,8,640.0,4,0.2
14,M,8,1330.0,4,0.125
